ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
127,港区,赤坂１丁目１４２４番１,4340000,共同住宅,マンションに大使館、ホテルも見られる住宅地域
128,港区,西麻布１丁目１番１４７,1390000,住宅兼車庫,一般住宅、マンションが見られる住宅地域
129,港区,白金台４丁目２７３番１９６,972000,住宅,一般住宅のほか共同住宅等が見られる住宅地域
130,港区,南麻布５丁目１８番１７,1920000,住宅,中規模一般住宅、マンション等が多い住宅地域
131,港区,白金台２丁目１８４番５,1150000,住宅兼車庫,中規模一般住宅が多く建ち並ぶ住宅地域
132,港区,高輪１丁目７０１番６１,1340000,住宅,中規模一般住宅が多い区画整然とした住宅地域
133,港区,三田２丁目３０９番１６,1530000,共同住宅,マンションのほか大使館、学校等がある住宅地域
134,港区,赤坂８丁目１３０番外,2020000,共同住宅,マンションに大使館も見られる閑静な住宅地域
135,港区,高輪４丁目３０番３０３外,1240000,共同住宅,一般住宅のほかマンション等が見られる住宅地域
136,港区,元麻布２丁目１３８番９外,2430000,共同住宅,マンションのほか学校、病院が混在する住宅地域
137,港区,元麻布３丁目２４２番３０外,1740000,共同住宅,中規模一般住宅と共同住宅が見られる住宅地域
138,港区,赤坂４丁目１１２２番,1250000,住宅,中低層一般住宅、アパートが見られる住宅地域
139,港区,南麻布４丁目１２番１,3230000,共同住宅,中高層マンション、一般住宅が混在する住宅地域
140,港区,芝浦２丁目１番３３,1380000,共同住宅,マンション、事務所等が混在する住宅地域
141,港区,南青山２丁目２６番３外,2100000,事務所兼共同住宅,事務所、店舗兼共同住宅等が混在する地域
142,港区,港南３丁目６番７,1070000,共同住宅,新興の高層マンションが建ち並ぶ共同住宅地域
143,港区,南麻布４丁目９番１８外,1400000,共同住宅,マンション、一般住宅等が見られる住宅地域
144,港区,南青山４丁目１９０番外,1800000,共同住宅,マンションのほか一般住宅等も見られる住宅地域
145,港区,南麻布１丁目２２５番４８外,1610000,住宅,一般住宅のほかマンションも見られる住宅地域
146,港区,三田２丁目３５番１,1840000,共同住宅兼駐車場,中高層のマンションが建ち並ぶ閑静な住宅地域
